WaferID: N5GM12.16 (Step 10 to Step 16)
     ,  BasisFunction1,  BasisFunction1,  (nFringes*1000),  (nFringes*1000),  Endpoint Time (sec),  Endpoint Time (sec),  Delay Time (sec),  Delay Time (sec),  Normalization Time (sec),  Normalization Time (sec), 
     ,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value, 
 977,  97.700,  255676.64,  97.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 978,  97.800,  255887.64,  97.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 979,  97.900,  255743.27,  97.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 980,  98.000,  255678.45,  98.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 981,  98.100,  255642.55,  98.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 982,  98.200,  255713.55,  98.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 983,  98.300,  255716.55,  98.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 984,  98.400,  255551.00,  98.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 985,  98.500,  255759.73,  98.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 986,  98.600,  255663.19,  98.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 987,  98.700,  255729.55,  98.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 988,  98.800,  255597.73,  98.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 989,  98.900,  255333.73,  98.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 990,  99.000,  255264.91,  99.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 991,  99.100,  255402.36,  99.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 992,  99.200,  255503.64,  99.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 993,  99.300,  255487.00,  99.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 994,  99.400,  255556.81,  99.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 995,  99.500,  255911.64,  99.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 996,  99.600,  255893.55,  99.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 997,  99.700,  256081.00,  99.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 998,  99.800,  256231.64,  99.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 999,  99.900,  256322.36,  99.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1000,  100.000,  256456.27,  100.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1001,  100.100,  256714.36,  100.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1002,  100.200,  256653.27,  100.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1003,  100.300,  256549.73,  100.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1004,  100.400,  256616.81,  100.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1005,  100.500,  256660.45,  100.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1006,  100.600,  256604.27,  100.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1007,  100.700,  256536.00,  100.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1008,  100.800,  256545.64,  100.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1009,  100.900,  256582.36,  100.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1010,  101.000,  256399.45,  101.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1011,  101.100,  256320.91,  101.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1012,  101.200,  256287.09,  101.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1013,  101.300,  256343.00,  101.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1014,  101.400,  256455.73,  101.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1015,  101.500,  256704.36,  101.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1016,  101.600,  256618.55,  101.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1017,  101.700,  256620.00,  101.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1018,  101.800,  256773.19,  101.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1019,  101.900,  256819.09,  101.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1020,  102.000,  257014.36,  102.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1021,  102.100,  257482.36,  102.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1022,  102.200,  257668.45,  102.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1023,  102.300,  257886.81,  102.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1024,  102.400,  257977.91,  102.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1025,  102.500,  258142.73,  102.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1026,  102.600,  258073.64,  102.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1027,  102.700,  258120.27,  102.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1028,  102.800,  258062.81,  102.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1029,  102.900,  258040.81,  102.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1030,  103.000,  258168.27,  103.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1031,  103.100,  258194.73,  103.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1032,  103.200,  257868.00,  103.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1033,  103.300,  257730.45,  103.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1034,  103.400,  257669.45,  103.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1035,  103.500,  257878.19,  103.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1036,  103.600,  257996.27,  103.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1037,  103.700,  258044.27,  103.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1038,  103.800,  258153.27,  103.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1039,  103.900,  258464.45,  103.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1040,  104.000,  258854.00,  104.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1041,  104.100,  258947.91,  104.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1042,  104.200,  258791.09,  104.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1043,  104.300,  259132.81,  104.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1044,  104.400,  259544.19,  104.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1045,  104.500,  259685.45,  104.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1046,  104.600,  259569.64,  104.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1047,  104.700,  259505.27,  104.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1048,  104.800,  259253.36,  104.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1049,  104.900,  259122.36,  104.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1050,  105.000,  259196.91,  105.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1051,  105.100,  259035.27,  105.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1052,  105.200,  259152.73,  105.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1053,  105.300,  259396.09,  105.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1054,  105.400,  259132.36,  105.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1055,  105.500,  258940.81,  105.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1056,  105.600,  258700.64,  105.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1057,  105.700,  258800.45,  105.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1058,  105.800,  258864.91,  105.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1059,  105.900,  259289.91,  105.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1060,  106.000,  259696.00,  106.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1061,  106.100,  259657.00,  106.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1062,  106.200,  259814.64,  106.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1063,  106.300,  259881.81,  106.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1064,  106.400,  260130.19,  106.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1065,  106.500,  260152.00,  106.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1066,  106.600,  260181.27,  106.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1067,  106.700,  260252.36,  106.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1068,  106.800,  260452.09,  106.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1069,  106.900,  260634.64,  106.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1070,  107.000,  260591.09,  107.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1071,  107.100,  260486.09,  107.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1072,  107.200,  260556.91,  107.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1073,  107.300,  260475.00,  107.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1074,  107.400,  260374.09,  107.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1075,  107.500,  260209.36,  107.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1076,  107.600,  260346.73,  107.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1077,  107.700,  260456.45,  107.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1078,  107.800,  260815.27,  107.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1079,  107.900,  260940.45,  107.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1080,  108.000,  260860.64,  108.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1081,  108.100,  260948.55,  108.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1082,  108.200,  261182.27,  108.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1083,  108.300,  261292.27,  108.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1084,  108.400,  261318.09,  108.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1085,  108.500,  261541.27,  108.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1086,  108.600,  261343.55,  108.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1087,  108.700,  261409.64,  108.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1088,  108.800,  261474.55,  108.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1089,  108.900,  261580.19,  108.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1090,  109.000,  261601.19,  109.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1091,  109.100,  261603.27,  109.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1092,  109.200,  261618.00,  109.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1093,  109.300,  261390.64,  109.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1094,  109.400,  261358.91,  109.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1095,  109.500,  261494.91,  109.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1096,  109.600,  261430.91,  109.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1097,  109.700,  261645.09,  109.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1098,  109.800,  261725.19,  109.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1099,  109.900,  261830.73,  109.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1100,  110.000,  261422.64,  110.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1101,  110.100,  261359.45,  110.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1102,  110.200,  261354.91,  110.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1103,  110.300,  261445.64,  110.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1104,  110.400,  261587.55,  110.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1105,  110.500,  261756.45,  110.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1106,  110.600,  261877.00,  110.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1107,  110.700,  262018.55,  110.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1108,  110.800,  262012.00,  110.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1109,  110.900,  261990.36,  110.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1110,  111.000,  262173.47,  111.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1111,  111.100,  262400.19,  111.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1112,  111.200,  262585.53,  111.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1113,  111.300,  262893.91,  111.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1114,  111.400,  262916.47,  111.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1115,  111.500,  263248.81,  111.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1116,  111.600,  263318.72,  111.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1117,  111.700,  263378.91,  111.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1118,  111.800,  263419.28,  111.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1119,  111.900,  263566.72,  111.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1120,  112.000,  263665.38,  112.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1121,  112.100,  263705.53,  112.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1122,  112.200,  263797.47,  112.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1123,  112.300,  263895.28,  112.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1124,  112.400,  263823.72,  112.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1125,  112.500,  263917.38,  112.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1126,  112.600,  264063.91,  112.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1127,  112.700,  263943.91,  112.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1128,  112.800,  263847.28,  112.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1129,  112.900,  263646.63,  112.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1130,  113.000,  263716.28,  113.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1131,  113.100,  263553.91,  113.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1132,  113.200,  263429.81,  113.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1133,  113.300,  263568.28,  113.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1134,  113.400,  263247.72,  113.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1135,  113.500,  263451.63,  113.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1136,  113.600,  263585.53,  113.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1137,  113.700,  263370.91,  113.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1138,  113.800,  263383.38,  113.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1139,  113.900,  263498.91,  113.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1140,  114.000,  263916.72,  114.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1141,  114.100,  264142.19,  114.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1142,  114.200,  264356.47,  114.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1143,  114.300,  264415.28,  114.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1144,  114.400,  264294.72,  114.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1145,  114.500,  264717.28,  114.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1146,  114.600,  264586.63,  114.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1147,  114.700,  264450.91,  114.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1148,  114.800,  264658.72,  114.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1149,  114.900,  264991.00,  114.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1150,  115.000,  264892.47,  115.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1151,  115.100,  264592.28,  115.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1152,  115.200,  264528.53,  115.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1153,  115.300,  264611.47,  115.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1154,  115.400,  264624.28,  115.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1155,  115.500,  264983.53,  115.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1156,  115.600,  265161.81,  115.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1157,  115.700,  265321.28,  115.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1158,  115.800,  265505.81,  115.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1159,  115.900,  265396.38,  115.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1160,  116.000,  265305.81,  116.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1161,  116.100,  265572.91,  116.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1162,  116.200,  265916.81,  116.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1163,  116.300,  265959.53,  116.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1164,  116.400,  265932.63,  116.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1165,  116.500,  266174.53,  116.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1166,  116.600,  266225.81,  116.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1167,  116.700,  266207.81,  116.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1168,  116.800,  266323.63,  116.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1169,  116.900,  266332.63,  116.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1170,  117.000,  266386.00,  117.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1171,  117.100,  266373.47,  117.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1172,  117.200,  266643.09,  117.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1173,  117.300,  266517.38,  117.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1174,  117.400,  266731.38,  117.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1175,  117.500,  266835.53,  117.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1176,  117.600,  266830.09,  117.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1177,  117.700,  266833.53,  117.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1178,  117.800,  266761.53,  117.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1179,  117.900,  266902.28,  117.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1180,  118.000,  266853.00,  118.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1181,  118.100,  266806.19,  118.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1182,  118.200,  266787.81,  118.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1183,  118.300,  266394.28,  118.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1184,  118.400,  266700.19,  118.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1185,  118.500,  266538.09,  118.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1186,  118.600,  266734.38,  118.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1187,  118.700,  266814.38,  118.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1188,  118.800,  266840.38,  118.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1189,  118.900,  266877.72,  118.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1190,  119.000,  266675.53,  119.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1191,  119.100,  266972.38,  119.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1192,  119.200,  267288.63,  119.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1193,  119.300,  267547.91,  119.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1194,  119.400,  267830.09,  119.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1195,  119.500,  267766.28,  119.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1196,  119.600,  267946.63,  119.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1197,  119.700,  268377.00,  119.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1198,  119.800,  268446.28,  119.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1199,  119.900,  268722.47,  119.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1200,  120.000,  268937.28,  120.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1201,  120.100,  269392.09,  120.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1202,  120.200,  269679.09,  120.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1203,  120.300,  269500.09,  120.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1204,  120.400,  269459.91,  120.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1205,  120.500,  269595.72,  120.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1206,  120.600,  269873.72,  120.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1207,  120.700,  269830.28,  120.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1208,  120.800,  269449.00,  120.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1209,  120.900,  269291.72,  120.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1210,  121.000,  268982.81,  121.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1211,  121.100,  268926.00,  121.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1212,  121.200,  268776.00,  121.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1213,  121.300,  268509.00,  121.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1214,  121.400,  268669.63,  121.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1215,  121.500,  268936.53,  121.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1216,  121.600,  268947.53,  121.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1217,  121.700,  268746.72,  121.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1218,  121.800,  268773.91,  121.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1219,  121.900,  268903.28,  121.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1220,  122.000,  269129.53,  122.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1221,  122.100,  269281.28,  122.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1222,  122.200,  269278.09,  122.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1223,  122.300,  269379.81,  122.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1224,  122.400,  269359.38,  122.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1225,  122.500,  269341.38,  122.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1226,  122.600,  269013.00,  122.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1227,  122.700,  269057.38,  122.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1228,  122.800,  269192.00,  122.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1229,  122.900,  269439.81,  122.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1230,  123.000,  269397.63,  123.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1231,  123.100,  269482.38,  123.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1232,  123.200,  269669.38,  123.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1233,  123.300,  269612.81,  123.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1234,  123.400,  269658.63,  123.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1235,  123.500,  269518.72,  123.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1236,  123.600,  269634.72,  123.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1237,  123.700,  269816.09,  123.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1238,  123.800,  269671.47,  123.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1239,  123.900,  269687.72,  123.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1240,  124.000,  269720.00,  124.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1241,  124.100,  269932.28,  124.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1242,  124.200,  270097.81,  124.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1243,  124.300,  270152.19,  124.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1244,  124.400,  270368.28,  124.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1245,  124.500,  270355.38,  124.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1246,  124.600,  270558.63,  124.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1247,  124.700,  270532.00,  124.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1248,  124.800,  270613.63,  124.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1249,  124.900,  270950.19,  124.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1250,  125.000,  271026.19,  125.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1251,  125.100,  271070.72,  125.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1252,  125.200,  271088.28,  125.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1253,  125.300,  271030.00,  125.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1254,  125.400,  270957.47,  125.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1255,  125.500,  271171.63,  125.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1256,  125.600,  271135.72,  125.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1257,  125.700,  271417.81,  125.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1258,  125.800,  271743.72,  125.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1259,  125.900,  271858.72,  125.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1260,  126.000,  272181.47,  126.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1261,  126.100,  272176.19,  126.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1262,  126.200,  272409.19,  126.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1263,  126.300,  272761.63,  126.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 1264,  126.400,  272838.19,  126.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
