WaferID: N5GM12.16 (Step 10 to Step 16)
     ,  BasisFunction1,  BasisFunction1,  (nFringes*1000),  (nFringes*1000),  Endpoint Time (sec),  Endpoint Time (sec),  Delay Time (sec),  Delay Time (sec),  Normalization Time (sec),  Normalization Time (sec), 
     ,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value, 
 64,  6.400,  263040.19,  6.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 65,  6.500,  262946.81,  6.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 66,  6.600,  262964.00,  6.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 67,  6.700,  262746.72,  6.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 68,  6.800,  262645.00,  6.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 69,  6.900,  262605.28,  6.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 70,  7.000,  262258.91,  7.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 71,  7.100,  262056.09,  7.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 72,  7.200,  261631.00,  7.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 73,  7.300,  261398.55,  7.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 74,  7.400,  260937.19,  7.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 75,  7.500,  260744.73,  7.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 76,  7.600,  260668.00,  7.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 77,  7.700,  260484.55,  7.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 78,  7.800,  260122.36,  7.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 79,  7.900,  259929.64,  7.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 80,  8.000,  260042.73,  8.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 81,  8.100,  260266.45,  8.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 82,  8.200,  260070.27,  8.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
